Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: HSS Engineers Bhd,Engineering,3.7,3.6,2.52,4,4.65,42044,40808,42025,40447,4385,3896,3661,3680,2787,2651,2280,2693,165324,10411,0.43,170770,49040,69580,124390,219010,2.45,2.45,0.75,0.047536642,0.567964933,0.754869641,6.297331301,6.65809578,5.425342058,6.49627524,6.62876986,3.371207178
klse: QL Resources Bhd,Agricultural Commodities,3.6,2.5,1.06,3.58,7.32,1078089,970149,979416,1107349,97320,80402,62798,97650,70130,50869,42969,76121,4135003,246448,1.24,15100,446470,1500000,2120000,2180000,1.39,0.73,0.29,0.113049541,0.972477064,1.896790367,5.960044043,6.874165236,4.387206254,5.243421371,6.505028806,9.261547248
klse: K-One Technology Bhd,Electronic Equipments,3.9,2.4,1.53,4.32,7.27,23850,19047,16958,26704,457,-2449,414,2128,523,-2856,108,1260,86559,305,0.16,18590,51320,0,21490,115650,2.63,2.06,1.27,0.002637268,0.185819282,0.74845655,0.352360817,4.718394248,0.636867555,-14.99448732,2.192872117,1.686652377
klse: LBI Capital Bhd,Industrial Specialties,6.7,5.2,7.1,8.81,5.74,667,2279,3973,6409,-971,3178,-1625,-2029,-799,3066,-1803,-2428,13328,-1967,1.39,0,29600,3230,20750,142390,3.7,2.22,1.45,-0.013814172,0.145726526,0.093602079,-14.75840336,-37.88422531,-45.38132394,134.5326898,-119.7901049,0.45027027
klse: Rex Industry Bhd,Food and Beverages,3.1,1.9,4.11,3.09,3.41,44067,40844,34030,36155,1311,-4128,-2561,-888,789,-4560,-2760,-1082,155096,-7613,0.41,7040,6650,42190,81360,102190,1.31,0.6,0.1,-0.074498483,0.796164008,1.517721891,-4.908572755,-2.992670447,-8.110490743,-11.16443052,1.790455443,23.32270677
klse: Fitters Diversified Bhd,Miscellaneous Manufacturing,4.7,2.4,6.46,3.33,6.6,58601,51990,54042,64860,1021,-926,-6392,-760,646,-675,-6440,-1953,229493,-10557,0.82,5510,17720,94850,157910,361650,2.02,1.04,0.11,-0.029191207,0.436637633,0.6345721,-4.600140309,-3.011100833,-11.91665741,-1.298326601,1.102370267,12.95107223
klse: Media Chinese International Ltd.,Broadcasting,4.9,2.1,5.75,7.04,4.75,126207,103722,165865,230149,2468,-25477,-6629,19724,3254,-24333,-7737,13917,625943,-19050,0.41,9150,325150,102450,284720,668210,2.31,1.92,1.43,-0.028509002,0.426093593,0.936745933,-3.043408106,6.046952192,-4.664636904,-23.4598253,2.578303898,1.925089958
klse: BIMB Holdings Bhd,Construction,5.8,6.1,5.31,5.75,6.2,1332009,1144691,1244072,1352457,220408,252260,321833,266607,135810,153026,209237,180858,5073229,814681,3.34,63220,19270000,56590000,57430000,5130000,0.44,0,0,0.158807212,11.19493177,0.988933528,16.05843143,13.37255085,16.8187211,13.36832385,10.19587705,0.263270835
klse: Kuala Lumpur Kepong Bhd,Agricultural Commodities,4.7,3.3,3.2,4.4,8.01,4003408,3711157,3803983,4077408,336290,487111,102570,259759,208816,368697,27892,167199,15595956,857049,10.04,346170,3900000,6740000,9360000,10750000,2.83,2.06,1.26,0.079725488,0.870697674,1.450786605,5.495328404,4.100619806,0.733231458,9.934826255,5.215956005,3.998963077
klse: Kumpulan H&L High-Tech Bhd,Industrial Machinery,5.2,5.5,7.83,6.54,1.08,5359,4808,3208,5132,1277,1432,-485,479,1315,1447,-656,322,18507,2427,2.64,0,27260,16820,25590,95310,8.07,7.07,6.3,0.025464274,0.268492288,0.194176896,13.11395688,6.274356976,-20.44887781,30.09567388,24.5381601,0.678906823
klse: HSS Engineers Bhd,Engineering,3.7,3.6,2.52,4,4.65,42044,40808,42025,40447,4385,3896,3661,3680,2787,2651,2280,2693,165324,10411,0.43,170770,49040,69580,124390,219010,2.45,2.45,0.75,0.047536642,0.567964933,0.754869641,6.297331301,6.65809578,5.425342058,6.49627524,6.62876986,3.371207178
klse: CME Group Bhd,Industrial Products,2.6,2.1,1.84,0,6.61,1704,1268,10323,16673,-147,-1517,723,2968,-147,-2235,723,2968,29968,1309,0.06,0,5970,56500,84820,5630,0.36,0.22,0.12,0.23250444,15.06571936,5.322912966,4.367992525,17.80123553,7.003777972,-176.2618297,-8.626760563,5.019765494
klse: Apollo Food Holdings Bhd,Food and Beverages,5.6,4.2,5.41,7.97,4.81,48145,45140,43394,48934,4156,6734,5436,5730,3267,4684,3895,3987,185613,15833,3.04,0,119170,0,20790,247970,16.65,15.06,12.25,0.063850466,0.083840787,0.748530064,8.530113731,8.147709159,8.975895285,10.37660611,6.785751376,1.557548041
klse: Coastal Contracts Bhd,Industrial Machinery,6.2,6.1,7.95,6,4.75,37979,46576,51773,51432,-4387,-166075,48359,3210,-8194,-170365,43839,-1613,187760,-136333,2.06,0,523750,276990,470500,1090000,1.94,1.6,1.21,-0.125076147,0.431651376,0.172256881,-72.61024712,-3.13617981,84.67540996,-365.7785125,-21.57508097,0.358491647
klse: DiGi.com Bhd,Telco Provider,3.4,3.8,0.01,1.99,7.64,1579247,1452478,1560250,1678052,432435,377268,435420,461005,320758,288036,331998,342924,6270027,1283716,0.08,209900,519210,5160000,7560000,611370,0.67,0.64,0.17,2.099736657,12.36567054,10.25569949,20.47385123,20.4358387,21.27851306,19.83066181,20.31081902,12.0760906
klse: Muar Ban Lee Group Bhd,Industrial Machinery,5.5,5.8,5.06,6.36,5,50913,44077,37783,48907,4547,5386,2542,8714,2053,4103,1476,5310,181680,14887,1.38,23560,28810,12550,75420,145200,2.43,1.8,0.62,0.102527548,0.519421488,1.251239669,8.194077499,10.85734148,3.906518805,9.308709758,4.032368943,6.3061437
klse: PNE PCB Bhd,Electronic Components,3.3,1.9,1.51,3.72,6.13,20598,16070,13335,17147,6,-1228,-750,-673,6,-1228,-2643,-686,67150,-4551,0.43,140,12960,6660,22910,55490,2.09,1.63,0.71,-0.082014777,0.412867183,1.210127951,-6.77736411,-4.000699831,-19.8200225,-7.641568139,0.029129042,5.18132716
klse: EP Manufacturing Bhd,Auto Parts,2.6,1.1,5.63,1.81,1.97,127125,51645,95925,139269,-235,-9093,-4156,-6879,-233,-8622,-5425,-4214,413964,-18494,1.66,85510,29530,193870,271820,248660,0.61,0.41,0.09,-0.074374648,1.093139226,1.664779217,-4.46753824,-3.025798993,-5.655459995,-16.69474296,-0.183284169,14.01842194
klse: Xian Leng Holdings Bhd,Agricultural Commodities,3.5,2.4,3.98,4.06,3.59,7748,7953,6404,4337,335,547,-248,-397,268,437,-270,-431,26442,4,0.61,0,3540,380,1650,46960,10.5,6.85,4.26,8.51789E-05,0.035136286,0.563074957,0.015127449,-9.937744985,-4.216114928,5.494781843,3.45895715,7.469491525
klse: Privasia Technology Bhd,Information Technology Services,2.7,1.1,0.3,3.12,6.2,11069,10128,9510,10959,297,-790,-491,79,-485,-1135,-747,-554,41666,-3162,0.11,42450,9710,19290,31980,60530,1.12,1.07,0.31,-0.052238559,0.528333058,0.688352883,-7.588921423,-5.055205767,-7.85488959,-11.20655608,-4.381606288,4.291040165
klse: Tune Protect Group Bhd,Insurance,6.9,7,6.79,7.88,5.84,110003,100942,122356,125832,7405,20603,3577,12285,2278,12597,2500,10638,459133,37954,0.74,29080,819340,294740,5870,479830,0.66,0,0,0.079098848,0.012233499,0.956865973,8.266450026,8.454129315,2.04321815,12.47944364,2.070852613,0.560369322
klse: Hock Seng Lee Bhd,Engineering,5.7,5.7,6.72,6.55,3.91,161156,83052,112396,187634,13031,5402,10126,13702,10866,3953,7553,10124,544238,32570,1.49,0,253290,52810,294260,829460,2.77,2.1,0.7,0.039266511,0.354760929,0.656135317,5.984514128,5.395610604,6.719990035,4.759668641,6.742535183,2.148675431
klse: Keck Seng (Malaysia) Bhd,Agricultural Commodities,4.9,2.8,6.66,5.4,4.62,213313,160924,241008,252667,-7616,-30700,28612,3395,-11452,-32416,22868,23943,867912,-1485,6.25,100,993280,216790,360930,2200000,3.38,2.94,2.63,-0.000675,0.164059091,0.394505455,-0.171100296,9.476108871,9.48848171,-20.1436703,-5.368636698,0.873783827
klse: Tanco Holdings Bhd,Property Developer,3.7,1.3,5.22,2.98,5.22,663,660,568,1958,-1939,-6866,-3184,-1731,-1939,-7905,-3198,-1731,3849,-14773,0.13,0,4020,42800,113830,157540,1,0.1,0.06,-0.09377301,0.722546655,0.02443189,-383.8139777,-88.40653728,-563.028169,-1197.727273,-292.4585219,0.957462687
klse: Boustead Plantations Bhd,Construction,4.7,2.4,4.64,4.06,7.89,205679,167058,162689,179104,27549,4770,1280,-177711,17970,7080,-9553,-172725,714530,-167967,1.14,2280,48840,1360000,1740000,2550000,0.19,0.13,0.03,-0.065869412,0.682352941,0.280207843,-23.50734049,-96.43838217,-5.871939713,4.238049061,8.73691529,14.63001638
klse: CabNet Holdings Bhd,Engineering,4.5,4.4,4.91,5.19,3.42,11827,8038,12285,21748,169,-1101,-17,584,6,-898,-62,347,53898,-553,0.27,100,6610,11350,21710,47050,2.71,2.5,0.58,-0.011753454,0.461424017,1.14554729,-1.026012097,1.595549016,-0.504680505,-11.17193332,0.050731377,8.154009077
klse: Innity Corp. Bhd,Marketing Services,1.7,1.9,1.19,3.68,0.14,41735,31428,37387,53489,8906,4542,4167,10254,6584,3132,2750,7910,99392,-4259,0.26,0,36770,21820,46240,132800,1.05,0.43,0.32,-0.032070783,0.348192771,0.748433735,-4.285053123,14.78808727,7.3554979,9.965635739,15.77572781,2.703073157
klse: Nextgreen Global Bhd,Commercial Services,3.2,2.4,1.66,3.7,5.17,16465,602,7763,12683,5662,-1278,1352,-25853,5662,-1278,1680,-25853,37513,-21424,0.27,500,2460,10240,29980,112850,2.66,0.95,0.07,-0.189844927,0.265662384,0.33241471,-57.11086823,-203.8397855,21.64111812,-212.2923588,34.38809596,15.24918699
klse: Axiata Group Bhd,Telecommunications,3.6,2.8,1.24,2.4,8.02,6111657,5792414,6036584,6267007,724473,405810,611886,632278,352991,80018,188106,332558,24207662,1426596,1.77,20355360,10880000,30590000,48960000,15780000,0.39,0.39,0.18,0.090405323,3.102661597,1.53407237,5.893158951,5.306488408,3.116100099,1.381427502,5.775700436,2.224968934
klse: RGB International Bhd,Consumer Services,7,8,6.33,7.5,6.14,39973,14427,77433,132126,-12434,-14421,4594,16306,-11901,-14029,3600,14713,263959,-7659,0.17,1950,58980,41620,194250,256540,1.36,1.34,0.31,-0.029854993,0.757191861,1.028919467,-2.901586989,11.1355827,4.649180582,-97.2412837,-29.7725965,4.47539844
klse: Xin Hwa Holdings Bhd,Couriers,4.3,2.4,5.54,2.66,6.44,26858,19534,20732,32355,-780,111,-4221,1680,-775,12,-6740,1516,99479,-6059,0.83,340,5380,125490,157340,180410,0.69,0.65,0.06,-0.033584613,0.872124605,0.551405133,-6.090732717,4.685520012,-32.51012927,0.06143135,-2.885546206,18.49052045
klse: Sime Darby Plantation Bhd,Agricultural Commodities,3.9,2.7,1.93,2.96,7.97,3182000,3216000,3044000,3376000,311000,519000,607000,32000,190000,378000,394000,-45000,12818000,1136000,1.93,2983000,695000,9300000,14490000,13590000,1.04,0.65,0.1,0.083590876,1.066225166,0.943193525,8.862537057,-1.332938389,12.9434954,11.75373134,5.971087366,18.44316547
klse: NWP Holdings Bhd,Forest Products,2.6,0.4,0.01,3.86,6.31,2263,548,1063,2014,-1311,-965,-1721,-1027,-1311,-965,-1721,-1027,5888,-5024,0.08,260,1400,111,6660,32070,2.3,1.05,0.45,-0.156657312,0.20767072,0.183598379,-85.32608696,-50.99304866,-161.9002822,-176.0948905,-57.93194874,4.205714286
klse: Tomei Consolidated Bhd,Consumer Services,5.3,4.8,6.29,3.17,7.12,180631,76129,127800,136507,19833,2540,5415,4689,13604,1891,4006,2675,521067,21834,1.55,0,13690,183500,205420,215500,1.83,0.2,0.09,0.101317865,0.953225058,2.417944316,4.190248087,1.959606467,3.13458529,2.48394173,7.53137612,38.06186998
klse: Pensonic Holdings Bhd,Electronics,4,3.5,5.2,2.74,4.64,84669,62501,69430,78949,2043,-879,5938,-197,1553,-600,5081,-284,295549,5309,0.91,870,26660,93830,140160,116820,1.33,0.88,0.27,0.045445985,1.199794556,2.529952063,1.796318039,-0.359725899,7.318162178,-0.95998464,1.83420142,11.08585896
klse: Gabungan AQRS Bhd,Construction,5.6,6,5.93,4.56,5.8,84405,-53267,76853,79849,5292,-74599,5957,4526,4970,-74163,3921,5403,187840,-59005,1.04,28710,131430,267340,929830,443770,1.46,1.02,0.15,-0.132963021,2.095297113,0.423282331,-31.41237223,6.76652181,5.101947875,139.2287908,5.888276761,1.429201857
klse: IGB Bhd,Pharmaceuticals,4.5,4.7,6.07,2.82,4.49,279801,168527,291422,427491,72041,-7878,61812,130663,16987,-14974,17678,59901,1167241,199219,5.3,6260,705320,4020000,4880000,3590000,0.75,0.52,0.32,0.055492758,1.359331476,0.325136769,17.06751219,14.01222482,6.066117177,-8.885223139,6.071100532,1.654909828
klse: British American Tobacco (Malaysia) Bhd,Ringgit,4.4,5,0.52,5.03,6.95,627518,546588,481146,662447,83834,78097,66939,134136,63742,54611,50766,93864,2317699,266822,1.36,413050,6380,549410,734710,355180,0.88,0.72,0.03,0.751230362,2.068556788,6.525420913,11.51236636,14.16928449,10.55105935,9.991254839,10.15779627,363.2757053
klse: MTAG Group Bhd,Commercial Services,5.9,5,3.95,7.17,7.43,55265,29657,41582,45811,14403,6574,11156,13481,10796,5022,8128,10540,172315,34486,0.26,0,109730,111,21860,179740,9.26,7.92,5.73,0.191866029,0.121620118,0.95869033,20.01334765,23.0075746,19.54691934,16.93360758,19.53496788,1.570354507
klse: Tasco Bhd,Transportation,4.5,3.9,3.55,3.76,6.91,229457,178565,186236,190137,15596,5229,6821,6112,10702,2636,-377,3880,784395,19044,2.18,81860,106570,284440,398460,434960,2.01,2.01,1.15,0.043783336,0.916084238,1.803372724,2.427858413,2.040633859,-0.202431324,1.476213144,4.664054703,7.360373463
klse: Elsoft Research Bhd,Computer,4,3.2,1.71,5.77,5.41,4733,4201,4266,6254,2659,1268,214,4059,2756,1150,106,3822,19454,7834,0.17,0,61660,0,5940,105230,6.88,6.57,5.77,0.074446451,0.056447781,0.184871234,40.26935335,61.11288775,2.484763244,27.37443466,58.22945278,0.315504379
klse: Apollo Food Holdings Bhd,Food and Beverages,5.6,4.2,5.41,7.97,4.81,48145,45140,43394,48934,4156,6734,5436,5730,3267,4684,3895,3987,185613,15833,3.04,0,119170,0,20790,247970,16.65,15.06,12.25,0.063850466,0.083840787,0.748530064,8.530113731,8.147709159,8.975895285,10.37660611,6.785751376,1.557548041
klse: Amalgamated Industrial Steel Bhd,Metal Fabrication,4.1,2.1,7.32,4.62,2.49,2204,846,589,1605,-1439,-600,-925,-2063,-1451,-622,-967,-678,5244,-3718,0.98,0,23460,5940,7610,133410,25.6,10.15,8.07,-0.027868975,0.057042201,0.039307398,-70.90007628,-42.24299065,-164.1765705,-73.52245863,-65.83484574,0.223529412
klse: TA Ann Holdings Bhd,Forest Products,5.3,4.6,5.13,5.42,5.84,353371,248704,252601,281729,69307,20513,20562,15191,42769,13257,10245,16196,1136405,107270,3.21,93840,135030,555420,935750,1460000,1.2,0.51,0.26,0.073472603,0.640924658,0.778359589,9.439416405,5.748786955,4.055803421,5.330432964,12.10314372,8.415944605
klse: AYER Holdings Bhd,Property Developer,4,2.9,6.06,5.12,1.99,18198,8326,8750,23717,7044,1419,2001,7462,5311,321,1487,5159,58991,12278,6.99,27100,115140,492,62590,522200,10.84,7.44,5.73,0.023512064,0.119858292,0.112966296,20.81334441,21.75232955,16.99428571,3.855392746,29.18452577,0.512341497
klse: Wah Seong Corp. Bhd,Oilfield Services,3.3,2.8,3.89,0.47,5.86,453299,243115,326740,429250,-235416,-30512,-43256,-63831,-255826,-29636,-44426,-30593,1452404,-373575,1.27,151040,250420,1210000,1660000,914080,0.91,0.68,0.13,-0.408689611,1.816033608,1.588924383,-25.72114921,-7.12708212,-13.59674359,-12.19011579,-56.43648012,5.799872215
klse: Fima Corp. Bhd,Commercial Services,6.1,5.2,6.91,8.96,3.2,60310,45869,70561,61197,11514,5196,-1404,4393,9240,2885,-1020,2687,237937,12197,2.29,510,199150,15480,67700,558810,8.08,7.05,3.99,0.021826739,0.121150302,0.425792309,5.126146837,4.390738108,-1.445557744,6.289650963,15.32084231,1.194762742
klse: Niche Capital Emas Holdings Bhd,Consumer Services,3.1,1.4,0.01,3.86,7.18,4527,4892,4568,591,211,-715,-1071,-360,211,-846,-1071,-360,14578,-2066,0.04,0,1280,388,5990,31360,6.26,1.58,0.22,-0.065880102,0.191007653,0.464859694,-14.17204006,-60.91370558,-23.44570928,-17.29354047,4.660923349,11.3890625
klse: Chemical Co. of Malaysia Bhd,Chemicals,4.3,3.2,2.79,3.89,7.4,106325,103884,96630,99293,1191,13,3730,5080,-1581,-709,2175,3074,406132,4371,1.93,94110,108460,219220,297730,316390,2.08,1.85,1.04,0.013815228,0.941022156,1.283643604,1.076251071,3.095887928,2.250853772,-0.68249201,-1.486950388,3.744532547
klse: Magna Prima Bhd,Engineering,3,1.8,4.59,2.73,2.76,4174,267,1987,9269,-4399,-2160,-7057,-9603,-4616,-1663,-7006,-11848,15697,-27429,1.46,0,2460,201040,358720,475670,0.46,0.07,0.02,-0.057663927,0.754136271,0.032999769,-174.7403963,-127.8239292,-352.591847,-622.8464419,-110.5893627,6.380894309
klse: Sapura Energy Bhd,Oilfield Services,4.2,2.1,5.39,0.47,8.7,1328379,1219237,1356662,1111894,58983,53377,36191,-4266977,17205,23744,14207,-4234508,5016172,-4181670,0.57,5079250,731910,10570000,13730000,9440000,0.63,0.57,0.12,-0.442973517,1.454449153,0.531374153,-83.36376823,-380.837382,1.047202619,1.947447461,1.295187593,6.853536637
klse: Asia Brands Bhd,Textiles,4.2,5.7,4.22,4.16,2.74,49233,34694,37840,46262,5796,4291,-999,3747,5348,4229,-1005,3609,168029,12181,0.85,157700,10900,65530,93940,202240,1.75,0.54,0.13,0.060230419,0.464497627,0.830839597,7.249343863,7.801219143,-2.655919662,12.18942757,10.86263279,15.41550459
klse: Kretam Holdings Bhd,Agricultural Commodities,3.6,2.6,2.15,4.23,5.54,141695,102998,94274,120885,19324,16044,3802,14626,16991,14208,2472,11729,459852,45548,0.26,42780,32190,41590,159500,639320,1.79,0.8,0.19,0.071244447,0.249483827,0.719282988,9.904925933,9.702609919,2.622143963,13.79444261,11.99124881,14.28555452
klse: JCY International Bhd,Electronic Components,5.1,2.4,4.36,4.61,8.99,301475,227035,269508,277827,27516,3347,4579,4106,14117,3143,4374,3970,1075845,25604,0.44,0,351830,53640,189910,898010,4.21,3.16,1.57,0.028511932,0.211478714,1.198032316,2.379896732,1.428946791,1.622957389,1.384368049,4.682643669,3.057854646
klse: Globaltec Formation Bhd,Metal Fabrication,5.1,3.6,6.3,4.79,5.66,36348,19977,42427,49077,22187,-1915,1505,1443,10746,-1355,-42,1746,147829,17364,0.89,27410,56170,20910,87110,238570,1.45,1.11,0.77,0.072783669,0.365133923,0.619646225,11.74600383,3.557674674,-0.098993565,-6.78280022,29.56421261,2.631814136
klse: Minetech Resources Bhd,Industrial Machinery,2.8,1.1,0.5,3.54,6.16,17824,9619,21686,19198,-1164,-2877,-11079,459,-1758,-2530,-11584,1180,68327,-16242,0.07,7680,30870,21350,58090,80350,1.47,1.3,0.36,-0.202140635,0.722962041,0.850367144,-23.77098365,6.146473591,-53.41695103,-26.30211041,-9.863105925,2.213378685
klse: Taliworks Corp. Bhd,Utilities,4.5,3.6,2.78,7.19,4.39,82631,76103,84252,105538,22596,15706,21153,-10183,16182,11701,15905,-18546,348524,32408,51.25,1193880,491270,404520,889030,993990,3.71,3.7,3.02,0.03260395,0.894405376,0.350631294,9.298642274,-17.57281737,18.87789014,15.37521517,19.58344931,0.70943473
klse: Lien Hoe Corp. Bhd,Engineering,4,1.5,6.39,3.5,4.7,3109,1129,5056,4795,-9477,-6313,-9518,18594,-8698,-6230,-9434,20082,14089,-4280,1.41,8930,5370,52430,168490,453320,0.74,0.46,0.14,-0.009441454,0.371680049,0.031079591,-30.37830932,418.8112617,-186.5901899,-551.8157662,-279.7684143,2.623649907
klse: Grand-Flo Bhd,Information Technology Services,3.8,2.4,2.57,4.83,5.56,20132,18877,25353,37428,2737,-420,528,-1844,1231,-417,46,-2203,101790,-1552,0.2,10350,7770,690,65120,95290,3.01,1.56,0.35,-0.016287124,0.683387554,1.068212824,-1.524707732,-5.885967725,0.181438094,-2.209037453,6.114643354,13.1003861
klse: OKA Corp. Bhd,Building Materials,6.2,5.6,6.4,8.56,4,34109,13570,24890,29859,7929,482,1189,3171,6096,451,1347,2141,102428,10035,0.72,0,47050,0,17940,176400,4.91,3.31,2.02,0.056887755,0.10170068,0.580657596,9.797125786,7.170367393,5.411811973,3.323507738,17.87211586,2.177003188
klse: Thong Guan Industries Bhd,Crude Oil,6.6,5.6,6.41,7.12,7.21,245791,228034,244021,231625,27435,25921,22584,21748,19596,20462,17461,17856,949471,80615,3.13,0,244010,150840,254100,618610,2.69,1.81,1.01,0.130316354,0.410759606,1.534845864,8.490517351,7.709012412,7.155531696,8.973223291,7.972627151,3.891115118
klse: Boilermech Holdings Bhd,Construction,4.5,4,2.87,5.45,5.79,64331,32028,59811,53071,10170,3541,8610,7624,6048,2342,6086,5675,209241,22091,0.41,3930,82320,12900,115940,218600,2.53,2.09,0.71,0.101056725,0.530375114,0.957186642,10.55768229,10.69322229,10.1753858,7.312351692,9.401377252,2.541800292
klse: Greenyield Bhd,Chemicals,4.3,3.3,4.4,4.27,5.4,8854,4074,8086,4433,1543,3716,-48,-386,1405,2837,-89,-200,25447,3953,0.16,0,7890,14980,21620,60660,3.02,1.97,1.19,0.065166502,0.356412793,0.419502143,15.53424765,-4.511617415,-1.100667821,69.63672067,15.868534,3.2252218
klse: Hiap Huat Holdings Bhd,Environmental Services,4.2,2.4,6.16,3.76,4.4,10059,6263,11888,13279,334,-2487,465,340,475,-2444,422,-649,41489,-2196,0.2,0,12750,14710,22660,64000,5.83,4.29,2.46,-0.0343125,0.3540625,0.648265625,-5.292969221,-4.887416221,3.549798116,-39.02283251,4.722139378,3.254039216
klse: VSTECS Bhd,Information Technology Services,6.2,6.4,5.32,6.78,6.37,536368,448822,372672,542095,13515,9309,8781,13954,10095,7023,6789,10734,1899957,34641,1.71,630,150600,1110,288290,315720,2.06,1.51,0.3,0.109720639,0.91311922,6.017854428,1.823251789,1.98009574,1.821709171,1.564762868,1.882103332,12.61591633
klse: Damansara Realty Bhd,Construction,5,6.1,6.19,3.9,3.72,46779,46868,49399,88211,-4312,-2324,-1619,14763,-4927,-1663,-2100,14667,231257,4456,0.61,890,16170,91300,220570,185530,1.05,0.89,0.18,0.024017679,1.188864335,1.246466879,1.926860592,16.62717802,-4.2510982,-3.548263207,-10.5325039,14.30160792
klse: Westports Holdings Bhd,Transportation,4.1,3.7,0.8,4.94,7.09,528359,431602,473467,452820,270278,174714,201892,158014,203849,134340,152806,125439,1886248,616434,0.75,2397600,751900,1690000,2530000,2630000,1.63,1.62,1.07,0.234385551,0.961977186,0.717204563,32.68043227,27.70173579,32.27384379,31.1258984,38.58153263,2.508642107
klse: Salutica Bhd,Electronic Equipments,3.9,2.4,2.63,5.57,5.12,56111,37335,36307,54998,-4888,-3378,-4165,137,-3738,-2154,-3574,55,184751,-9411,0.37,1300,44300,2160,40370,137500,2.78,1.59,1.03,-0.068443636,0.2936,1.343643636,-5.093883118,0.100003636,-9.843831768,-5.769385295,-6.66179537,4.170451467
